task_id,provider,model,http_code,status,latency_ms,json_parse_ok,judge_status,content_completeness,age_appropriateness,teaching_design_quality,json_structure_usability,low_age_support_strategy,resource_recommendation_quality,ai_intelligence,total_score,brief_reason
Y1-T5,Anthropic,Claude Opus 4.6,200,OK,22075.69,False,judge_parse_error,10,10,10,7,5,5,2,49,评审解析失败，评分采用默认值
Y1-T6,Anthropic,Claude Opus 4.6,200,OK,27774.22,True,ok,16,17,13,9,7,5,2,69,内容详实但结构有瑕疵，教学策略可行但差异化不够
Y1-T7,Anthropic,Claude Opus 4.6,200,OK,23404.0,True,ok,13,15,16,10,6,6,2,68,内容详实但结构有瑕疵，教学策略可行但差异化不够
Y1-T8,Anthropic,Claude Opus 4.6,200,OK,18863.83,False,judge_parse_error,10,10,10,7,5,5,2,49,JSON评审输出解析异常，使用保底分数
Y1-T9,Anthropic,Claude Opus 4.6,200,OK,24421.41,True,ok,14,16,12,12,9,8,4,75,内容全面详实，年龄适配良好，教学支架充分
Y1-T10,Anthropic,Claude Opus 4.6,200,OK,27344.5,False,judge_parse_error,10,10,10,7,5,5,2,49,评审解析失败，评分采用默认值
Y1-T11,Anthropic,Claude Opus 4.6,200,OK,24535.18,True,ok,17,19,18,10,8,8,4,84,教案结构完整，低龄支持到位，活动设计丰富多样
Y1-T12,Anthropic,Claude Opus 4.6,200,OK,26459.19,True,ok,12,14,13,8,6,6,4,63,整体框架完整，低龄支持有考虑，但JSON结构待优化
Y1-T13,Anthropic,Claude Opus 4.6,200,OK,21578.57,False,judge_parse_error,10,10,10,7,5,5,2,49,评审解析失败，评分采用默认值
Y1-T14,Anthropic,Claude Opus 4.6,200,OK,19646.42,True,ok,13,13,12,8,6,6,2,60,教案主体完整，年龄适配良好，但评估与资源细节不足
Y1-T15,Anthropic,Claude Opus 4.6,200,OK,31214.21,True,ok,15,14,13,10,9,6,4,71,教学流程详细，互动设计丰富，支持策略针对性强
Y1-T16,Anthropic,Claude Opus 4.6,200,OK,22651.53,False,judge_parse_error,10,10,10,7,5,5,2,49,评审解析失败，评分采用默认值
Y1-T17,Anthropic,Claude Opus 4.6,200,OK,29228.32,True,ok,6,7,4,3,1,3,0,24,JSON解析错误，格式不符合要求，内容不完整
Y1-T18,Anthropic,Claude Opus 4.6,200,OK,20553.27,True,ok,13,18,13,11,6,8,3,72,教学流程详细，互动设计丰富，支持策略针对性强
Y1-T19,Anthropic,Claude Opus 4.6,200,OK,13663.96,False,judge_parse_error,10,10,10,7,5,5,2,49,JSON评审输出解析异常，使用保底分数
Y1-T20,Anthropic,Claude Opus 4.6,200,OK,30605.64,True,ok,17,18,16,14,9,7,5,86,内容充实且条理清晰，低龄适配优秀，资源具体可操作
Y1-T21,Anthropic,Claude Opus 4.6,200,OK,22073.43,True,ok,14,15,16,10,7,6,4,72,教学流程详细，互动设计丰富，支持策略针对性强
Y1-T22,Anthropic,Claude Opus 4.6,200,OK,23334.17,False,judge_http_520,10,10,10,7,5,5,2,49,评审解析失败，评分采用默认值
Y1-T23,Anthropic,Claude Opus 4.6,200,OK,29314.19,False,judge_parse_error,10,10,10,7,5,5,2,49,JSON评审输出解析异常，使用保底分数
Y1-T24,Anthropic,Claude Opus 4.6,200,OK,27647.6,True,ok,12,18,13,11,7,7,3,71,教学流程详细，互动设计丰富，支持策略针对性强
Y1-T25,Anthropic,Claude Opus 4.6,200,OK,33945.31,True,ok,11,15,12,8,6,5,3,60,教案可用但不够完整，目标与流程清晰，评价资源待补
Y1-T26,Anthropic,Claude Opus 4.6,200,OK,22546.35,True,ok,16,18,12,12,9,6,4,77,教学目标明确，流程逻辑清晰，资源推荐贴合实际
Y1-T27,Anthropic,Claude Opus 4.6,200,OK,25590.56,True,ok,17,20,17,12,10,9,5,90,教案完整度高，差异化策略清晰，资源配置合理
Y1-T28,Anthropic,Claude Opus 4.6,200,OK,23888.12,True,ok,17,19,18,10,10,7,3,84,教学流程详细，互动设计丰富，支持策略针对性强
Y1-T29,Anthropic,Claude Opus 4.6,200,OK,27941.97,False,judge_http_520,10,10,10,7,5,5,2,49,judge parse fallback
Y1-T30,Anthropic,Claude Opus 4.6,200,OK,27943.16,True,ok,12,15,12,8,8,5,4,64,内容较完整但部分截断，教学目标清晰但流程可细化
Y1-T31,Anthropic,Claude Opus 4.6,200,OK,28533.5,False,judge_http_520,10,10,10,7,5,5,2,49,JSON评审输出解析异常，使用保底分数
Y1-T32,Anthropic,Claude Opus 4.6,200,OK,21707.84,True,ok,19,18,15,12,10,9,4,87,环节衔接自然，儿童化设计到位，评估方法具体
Y1-T33,Anthropic,Claude Opus 4.6,200,OK,25866.98,False,judge_http_520,10,10,10,7,5,5,2,49,JSON评审输出解析异常，使用保底分数
Y1-T34,Anthropic,Claude Opus 4.6,200,OK,26710.51,True,ok,11,14,9,8,5,4,3,54,主体内容到位，支架策略存在，但文档完整性受影响
Y1-T35,Anthropic,Claude Opus 4.6,200,OK,18430.23,True,ok,9,15,13,6,6,6,2,57,整体框架完整，低龄支持有考虑，但JSON结构待优化
Y1-T36,Anthropic,Claude Opus 4.6,200,OK,29808.98,True,ok,13,15,15,8,7,6,2,66,内容详实但结构有瑕疵，教学策略可行但差异化不够
Y1-T1,Anthropic,Claude Sonnet 4.6,200,OK,20742.37,False,judge_parse_error,10,10,10,7,5,5,2,49,judge parse fallback
Y1-T2,Anthropic,Claude Sonnet 4.6,200,OK,22920.26,True,ok,8,6,2,1,3,2,2,24,JSON解析错误，格式不符合要求，内容不完整
Y1-T3,Anthropic,Claude Sonnet 4.6,200,OK,28077.48,False,judge_parse_error,10,10,10,7,5,5,2,49,judge parse fallback
Y1-T4,Anthropic,Claude Sonnet 4.6,200,OK,25906.5,True,ok,13,17,14,11,7,7,2,71,内容详尽且适龄，教学环节设计清晰，支持策略充足
Y1-T5,Anthropic,Claude Sonnet 4.6,200,OK,22086.09,True,ok,15,17,12,8,7,7,4,70,环节衔接自然，儿童化设计到位，评估方法具体
Y1-T6,Anthropic,Claude Sonnet 4.6,200,OK,23431.51,False,judge_http_520,10,10,10,7,5,5,2,49,JSON评审输出解析异常，使用保底分数
Y1-T7,Anthropic,Claude Sonnet 4.6,200,OK,23233.55,True,ok,14,17,13,8,9,6,4,71,教学流程详细，互动设计丰富，支持策略针对性强
Y1-T8,Anthropic,Claude Sonnet 4.6,200,OK,23850.24,True,ok,13,16,16,8,7,6,4,70,环节衔接自然，儿童化设计到位，评估方法具体
Y1-T9,Anthropic,Claude Sonnet 4.6,200,OK,21766.4,False,judge_parse_error,10,10,10,7,5,5,2,49,评审解析失败，评分采用默认值
Y1-T10,Anthropic,Claude Sonnet 4.6,200,OK,21370.97,True,ok,16,19,15,13,8,8,5,84,内容全面详实，年龄适配良好，教学支架充分
Y1-T11,Anthropic,Claude Sonnet 4.6,200,OK,22698.96,True,ok,13,18,16,8,6,5,2,68,内容较完整但部分截断，教学目标清晰但流程可细化
Y1-T12,Anthropic,Claude Sonnet 4.6,200,OK,20936.68,True,ok,12,12,10,8,4,6,2,54,教学环节设计合理，内容较全面，但缺少部分关键要素
Y1-T13,Anthropic,Claude Sonnet 4.6,200,OK,22174.53,True,ok,15,14,12,8,8,5,2,64,内容较完整但部分截断，教学目标清晰但流程可细化
Y1-T14,Anthropic,Claude Sonnet 4.6,200,OK,23242.78,False,judge_parse_error,10,10,10,7,5,5,2,49,judge parse fallback
Y1-T15,Anthropic,Claude Sonnet 4.6,200,OK,22887.07,True,ok,15,18,16,8,9,8,3,77,教案结构完整，低龄支持到位，活动设计丰富多样
Y1-T16,Anthropic,Claude Sonnet 4.6,200,OK,22020.86,True,ok,13,17,13,11,7,6,2,69,内容较完整但部分截断，教学目标清晰但流程可细化
Y1-T17,Anthropic,Claude Sonnet 4.6,200,OK,24679.44,False,judge_parse_error,10,10,10,7,5,5,2,49,judge parse fallback
Y1-T18,Anthropic,Claude Sonnet 4.6,200,OK,22368.31,True,ok,16,20,19,13,8,7,4,87,教案完整度高，差异化策略清晰，资源配置合理
Y1-T19,Anthropic,Claude Sonnet 4.6,200,OK,24818.75,True,ok,11,10,9,7,5,6,3,51,内容详实但结构有瑕疵，教学策略可行但差异化不够
Y1-T20,Anthropic,Claude Sonnet 4.6,200,OK,20428.51,False,judge_parse_error,10,10,10,7,5,5,2,49,judge parse fallback
Y1-T21,Anthropic,Claude Sonnet 4.6,200,OK,27062.97,True,ok,8,10,11,9,4,6,2,50,教案可用但不够完整，目标与流程清晰，评价资源待补
Y1-T22,Anthropic,Claude Sonnet 4.6,200,OK,17892.73,True,ok,18,19,19,13,9,9,3,90,内容充实且条理清晰，低龄适配优秀，资源具体可操作
Y1-T23,Anthropic,Claude Sonnet 4.6,200,OK,26860.32,True,ok,16,18,15,10,6,8,3,76,内容全面详实，年龄适配良好，教学支架充分
Y1-T24,Anthropic,Claude Sonnet 4.6,200,OK,23204.35,False,judge_http_520,10,10,10,7,5,5,2,49,JSON评审输出解析异常，使用保底分数
Y1-T25,Anthropic,Claude Sonnet 4.6,200,OK,21676.27,True,ok,20,19,18,15,9,10,5,96,教案结构完整，低龄支持到位，活动设计丰富多样
Y1-T26,Anthropic,Claude Sonnet 4.6,200,OK,24780.04,True,ok,9,4,7,4,4,1,1,30,候选教案缺失，未提供目标/流程/资源等关键内容
Y1-T27,Anthropic,Claude Sonnet 4.6,200,OK,23604.21,True,ok,8,13,12,7,7,4,2,53,内容较完整但部分截断，教学目标清晰但流程可细化
Y1-T28,Anthropic,Claude Sonnet 4.6,200,OK,24840.32,True,ok,13,15,10,9,5,4,2,58,教案可用但不够完整，目标与流程清晰，评价资源待补
Y1-T29,Anthropic,Claude Sonnet 4.6,200,OK,23162.46,True,ok,12,14,14,8,6,6,4,64,内容详实但结构有瑕疵，教学策略可行但差异化不够
Y1-T30,Anthropic,Claude Sonnet 4.6,200,OK,21090.96,True,ok,13,13,11,5,7,5,3,57,主体内容到位，支架策略存在，但文档完整性受影响
Y1-T31,Anthropic,Claude Sonnet 4.6,200,OK,19753.92,True,ok,11,15,8,8,4,6,2,54,整体框架完整，低龄支持有考虑，但JSON结构待优化
Y1-T32,Anthropic,Claude Sonnet 4.6,200,OK,21217.19,True,ok,17,18,20,15,8,8,3,89,教案结构完整，低龄支持到位，活动设计丰富多样
Y1-T33,Anthropic,Claude Sonnet 4.6,200,OK,22209.29,True,ok,15,14,12,11,6,8,2,68,内容详实但结构有瑕疵，教学策略可行但差异化不够
Y1-T34,Anthropic,Claude Sonnet 4.6,200,OK,20456.13,True,ok,13,11,11,8,5,4,2,54,教学环节设计合理，内容较全面，但缺少部分关键要素
Y1-T35,Anthropic,Claude Sonnet 4.6,200,OK,20966.57,False,judge_parse_error,10,10,10,7,5,5,2,49,评审解析失败，评分采用默认值
Y1-T36,Anthropic,Claude Sonnet 4.6,200,OK,23202.56,False,judge_http_520,10,10,10,7,5,5,2,49,JSON评审输出解析异常，使用保底分数
Y1-T1,Google,Gemini 2.5 Pro,200,OK,39140.3,False,judge_http_520,10,10,10,7,5,5,2,49,judge parse fallback
Y1-T2,Google,Gemini 2.5 Pro,200,OK,38730.1,True,ok,15,14,14,12,9,5,2,71,环节衔接自然，儿童化设计到位，评估方法具体
Y1-T3,Google,Gemini 2.5 Pro,200,OK,38952.91,True,ok,11,14,12,8,6,4,2,57,内容详实但结构有瑕疵，教学策略可行但差异化不够
Y1-T4,Google,Gemini 2.5 Pro,200,OK,38156.47,True,ok,8,12,13,9,6,5,3,56,教案主体完整，年龄适配良好，但评估与资源细节不足
Y1-T5,Google,Gemini 2.5 Pro,200,OK,38830.69,False,judge_parse_error,10,10,10,7,5,5,2,49,JSON评审输出解析异常，使用保底分数
Y1-T6,Google,Gemini 2.5 Pro,200,OK,38572.01,True,ok,14,14,15,9,8,6,4,70,内容全面详实，年龄适配良好，教学支架充分
Y1-T7,Google,Gemini 2.5 Pro,200,OK,39302.98,True,ok,13,15,16,9,9,6,3,71,教案完整度高，差异化策略清晰，资源配置合理
Y1-T8,Google,Gemini 2.5 Pro,200,OK,41204.46,False,judge_parse_error,10,10,10,7,5,5,2,49,judge parse fallback
Y1-T9,Google,Gemini 2.5 Pro,200,OK,40930.12,True,ok,5,9,7,3,1,4,1,30,候选教案缺失，未提供目标/流程/资源等关键内容
Y1-T10,Google,Gemini 2.5 Pro,200,OK,39863.09,True,ok,9,15,8,8,6,6,2,54,内容详实但结构有瑕疵，教学策略可行但差异化不够
Y1-T11,Google,Gemini 2.5 Pro,200,OK,39546.23,True,ok,18,19,16,11,9,9,5,87,内容全面详实，年龄适配良好，教学支架充分
Y1-T12,Google,Gemini 2.5 Pro,200,OK,40102.46,False,judge_parse_error,10,10,10,7,5,5,2,49,评审解析失败，评分采用默认值
Y1-T13,Google,Gemini 2.5 Pro,200,OK,39540.51,False,judge_parse_error,10,10,10,7,5,5,2,49,judge parse fallback
Y1-T14,Google,Gemini 2.5 Pro,200,OK,39513.22,True,ok,14,17,15,8,8,7,2,71,教学流程详细，互动设计丰富，支持策略针对性强
Y1-T15,Google,Gemini 2.5 Pro,200,OK,38017.2,False,judge_parse_error,10,10,10,7,5,5,2,49,JSON评审输出解析异常，使用保底分数
Y1-T16,Google,Gemini 2.5 Pro,200,OK,39552.29,False,judge_parse_error,10,10,10,7,5,5,2,49,评审解析失败，评分采用默认值
Y1-T17,Google,Gemini 2.5 Pro,200,OK,41054.59,True,ok,8,11,9,5,4,4,3,44,输出不完整，关键教学要素缺失，无法正常使用
Y1-T18,Google,Gemini 2.5 Pro,200,OK,39724.09,False,judge_http_520,10,10,10,7,5,5,2,49,JSON评审输出解析异常，使用保底分数
Y1-T19,Google,Gemini 2.5 Pro,200,OK,41100.54,True,ok,16,18,20,15,9,9,5,92,教案结构完整，低龄支持到位，活动设计丰富多样
Y1-T20,Google,Gemini 2.5 Pro,200,OK,37251.17,True,ok,8,15,13,5,6,4,2,53,内容较完整但部分截断，教学目标清晰但流程可细化
Y1-T21,Google,Gemini 2.5 Pro,200,OK,38591.0,False,judge_parse_error,10,10,10,7,5,5,2,49,judge parse fallback
Y1-T22,Google,Gemini 2.5 Pro,200,OK,38914.44,False,judge_parse_error,10,10,10,7,5,5,2,49,judge parse fallback
Y1-T23,Google,Gemini 2.5 Pro,200,OK,41242.7,True,ok,14,17,16,12,8,5,4,76,内容详尽且适龄，教学环节设计清晰，支持策略充足
Y1-T24,Google,Gemini 2.5 Pro,200,OK,39633.67,False,judge_parse_error,10,10,10,7,5,5,2,49,JSON评审输出解析异常，使用保底分数
Y1-T25,Google,Gemini 2.5 Pro,200,OK,38638.31,False,judge_parse_error,10,10,10,7,5,5,2,49,JSON评审输出解析异常，使用保底分数
Y1-T26,Google,Gemini 2.5 Pro,200,OK,41199.11,False,judge_parse_error,10,10,10,7,5,5,2,49,judge parse fallback
Y1-T27,Google,Gemini 2.5 Pro,200,OK,38981.05,True,ok,11,10,11,7,7,4,3,53,整体框架完整，低龄支持有考虑，但JSON结构待优化
Y1-T28,Google,Gemini 2.5 Pro,200,OK,40183.58,False,judge_http_520,10,10,10,7,5,5,2,49,JSON评审输出解析异常，使用保底分数
Y1-T29,Google,Gemini 2.5 Pro,200,OK,39285.79,False,judge_http_520,10,10,10,7,5,5,2,49,judge parse fallback
Y1-T30,Google,Gemini 2.5 Pro,200,OK,39932.97,False,judge_parse_error,10,10,10,7,5,5,2,49,JSON评审输出解析异常，使用保底分数
Y1-T31,Google,Gemini 2.5 Pro,200,OK,39505.27,False,judge_parse_error,10,10,10,7,5,5,2,49,评审解析失败，评分采用默认值
Y1-T32,Google,Gemini 2.5 Pro,200,OK,39475.0,True,ok,9,14,8,7,6,4,2,50,教学环节设计合理，内容较全面，但缺少部分关键要素
Y1-T33,Google,Gemini 2.5 Pro,200,OK,39426.88,False,judge_parse_error,10,10,10,7,5,5,2,49,评审解析失败，评分采用默认值
Y1-T34,Google,Gemini 2.5 Pro,200,OK,42559.66,False,judge_parse_error,10,10,10,7,5,5,2,49,JSON评审输出解析异常，使用保底分数
Y1-T35,Google,Gemini 2.5 Pro,200,OK,39229.31,True,ok,10,12,11,6,5,6,3,53,教案可用但不够完整，目标与流程清晰，评价资源待补
Y1-T36,Google,Gemini 2.5 Pro,200,OK,39913.39,False,judge_parse_error,10,10,10,7,5,5,2,49,judge parse fallback
